Time		Subtitle		Translation
00:00:00		 hi everyone welcome to Bright English do you want to learn English like Americans   		大家好，欢迎来到明亮英语， 你 想像 美国人 一样 从小 就 学 英语 吗 ？ 
00:00:05		 do from a young age today we will practice everyday   		今天 我们 将 用 英语 练习 日常 
00:00:10		 actions in English let's begin I pour water into the   		动作，让我们开始吧，我把 水 倒进 
00:00:16		 kettle I pour water into the kettle I pour water into the   		水壶里，我把水倒进 水壶 里 ， 我 把 水 倒进 
00:00:23		 kettle I wait for it to boil I wait for it to boil   		水壶里，我等着 沸腾  我 等 它 沸腾  我 
00:00:30		 I wait for it to boil I wait for it to   		等它 沸腾  我 等 它 
00:00:37		 boil I open windows for fresh air I open windows for fresh   		沸腾 我打开窗户呼吸新鲜 空气  我 打开 窗户 呼吸 新鲜 
00:00:44		 air I open windows for fresh air I open windows for fresh   		空气 我打开窗户呼吸新鲜 空气  我 打开 窗户 呼吸 新鲜 
00:00:52		 air I close curtains before bed I close curtains before bed   		空气 我在睡觉前拉上窗帘 我 睡 前 拉上 窗帘 
00:01:00		 I close curtains before bed I close curtains before   		我睡前拉上 窗帘  我 睡 前 拉上 窗帘  我 
00:01:09		 bed I wash the dishes by hand I wash the dishes by   		用手洗碗 我 用 手 洗碗 
00:01:17		 hand I wash the dishes by   		我用手洗碗 
00:01:23		 hand I wash the dishes by hand I dry them with a cloth   		我用手洗碗 我 用 布擦干 
00:01:30		 I dry them with a cloth I dry them with a   		我用布擦干 布  我 用 
00:01:37		 cloth I vacuum the living room I vacuum the living   		布擦干 我用吸尘器吸 客厅  我 用 吸尘器 吸 客厅  我 用 吸尘器 吸 客厅  我 用 吸尘器 吸 客厅  我 
00:01:50		 room I mop the kitchen floor I mop the kitchen   		拖厨房 地板  我 拖 厨房 
00:01:57		 floor I mop the kitchen floor floor I mop the kitchen   		地板 我拖厨房 地板  我 拖 厨房 
00:02:05		 floor I cook dinner on weekdays I cook dinner on   		地板 我做饭 平日晚餐 我 平日 做饭  我 平日 做饭  我 
00:02:21		 weekdays I order takeout on Fridays I order takeout on   		平日做饭 我 
00:02:28		 Fridays I order takeout on   		周五叫外卖 我 
00:02:33		 Fridays I order takeout on Fridays I empty the trash   		周五叫外卖 我 周五 叫 外 卖  我 周五 叫 外 卖  我 清空 垃圾 桶 
00:02:40		 bin I empty the trash bin I empty the trash   		我清空 垃圾 桶  我 清空 
